1
Deck is attached!
stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,controller.pitch,controller.roll,ctrltargetZ.x,ctrltargetZ.y,ctrltargetZ.z,
83,-92,244,0.181033656001091,-0.16988511383533478,63.0,-94.0,299.0,
83,-92,244,0.181033656001091,-0.16988511383533478,63.0,-94.0,299.0,
83,-92,244,0.08836880326271057,-0.3284910023212433,63.0,-94.0,299.0,
84,-89,245,0.08836880326271057,-0.3284910023212433,63.0,-94.0,299.0,
83,-89,245,0.29713213443756104,0.2871323227882385,63.0,-94.0,299.0,
83,-89,245,0.29713213443756104,0.2871323227882385,63.0,-94.0,299.0,
83,-89,245,0.16972850263118744,0.20591400563716888,63.0,-94.0,299.0,
83,-89,245,0.16972850263118744,0.20591400563716888,63.0,-94.0,299.0,
83,-89,246,0.0070310779847204685,0.11547573655843735,63.0,-94.0,299.0,
83,-89,246,0.0070310779847204685,0.11547573655843735,63.0,-94.0,299.0,
83,-89,245,-0.06709026545286179,0.026590736582875252,63.0,-94.0,299.0,
83,-89,246,-0.06709026545286179,0.026590736582875252,63.0,-94.0,299.0,
82,-89,246,-0.14895835518836975,-0.0815720409154892,63.0,-94.0,299.0,
82,-89,246,-0.14895835518836975,-0.0815720409154892,63.0,-94.0,299.0,
82,-90,245,-0.30052655935287476,-0.28958508372306824,63.0,-94.0,299.0,
82,-90,246,-0.30052655935287476,-0.28958508372306824,63.0,-94.0,299.0,
82,-90,246,-0.21414196491241455,-0.40454861521720886,63.0,-94.0,299.0,
82,-90,246,-0.21414196491241455,-0.40454861521720886,63.0,-94.0,299.0,
82,-90,246,-0.2586859166622162,-0.4890238642692566,63.0,-94.0,299.0,
82,-91,246,-0.2586859166622162,-0.4890238642692566,63.0,-94.0,299.0,
82,-91,246,-0.304031640291214,-0.6849504709243774,63.0,-94.0,299.0,
81,-91,247,-0.304031640291214,-0.6849504709243774,63.0,-94.0,299.0,
82,-91,247,-0.4340517818927765,-0.8120255470275879,63.0,-94.0,299.0,
80,-91,246,-0.4340517818927765,-0.8120255470275879,63.0,-94.0,299.0,
80,-92,247,-0.6560249924659729,-0.7670889496803284,63.0,-94.0,299.0,
81,-92,247,-0.6560249924659729,-0.7670889496803284,63.0,-94.0,299.0,
80,-92,247,-0.498664915561676,-0.8463613390922546,63.0,-94.0,299.0,
80,-92,248,-0.498664915561676,-0.8463613390922546,63.0,-94.0,299.0,
79,-92,248,-0.7219023108482361,-1.001702070236206,63.0,-94.0,299.0,
79,-93,249,-0.7219023108482361,-1.001702070236206,63.0,-94.0,299.0,
78,-93,249,-0.746056079864502,-1.1378488540649414,63.0,-94.0,299.0,
78,-93,249,-0.746056079864502,-1.1378488540649414,63.0,-94.0,299.0,
79,-94,250,-0.9307399392127991,-1.0390605926513672,63.0,-94.0,299.0,
78,-94,250,-0.9307399392127991,-1.0390605926513672,63.0,-94.0,299.0,
78,-94,251,-0.6960564851760864,-1.048981785774231,63.0,-94.0,299.0,
78,-94,251,-0.6960564851760864,-1.048981785774231,63.0,-94.0,299.0,
78,-94,251,-0.579289972782135,-1.0016263723373413,63.0,-94.0,299.0,
78,-95,251,-0.579289972782135,-1.0016263723373413,63.0,-94.0,299.0,
78,-95,251,-0.37933459877967834,-0.9046352505683899,63.0,-94.0,299.0,
78,-96,251,-0.37933459877967834,-0.9046352505683899,63.0,-94.0,299.0,
77,-96,252,-0.40375882387161255,-1.0052293539047241,63.0,-94.0,299.0,
75,-96,252,-0.40375882387161255,-1.0052293539047241,63.0,-94.0,299.0,
77,-96,253,-0.8528909087181091,-0.7518989443778992,63.0,-94.0,299.0,
77,-96,253,-0.8528909087181091,-0.7518989443778992,63.0,-94.0,299.0,
74,-97,253,-0.251634418964386,-0.690863311290741,63.0,-94.0,299.0,
75,-98,255,-0.251634418964386,-0.690863311290741,63.0,-94.0,299.0,
75,-98,255,-0.7190161943435669,-0.8825183510780334,63.0,-94.0,299.0,
74,-98,255,-0.7190161943435669,-0.8825183510780334,63.0,-94.0,299.0,
74,-98,256,-0.752382218837738,-0.803620457649231,63.0,-94.0,299.0,
74,-98,258,-0.752382218837738,-0.803620457649231,63.0,-94.0,299.0,
74,-98,258,-0.5750660300254822,-0.7255434989929199,63.0,-94.0,299.0,
75,-99,259,-0.5750660300254822,-0.7255434989929199,63.0,-94.0,299.0,
74,-99,259,-0.2663836181163788,-0.7161086201667786,63.0,-94.0,299.0,
74,-99,259,-0.2663836181163788,-0.7161086201667786,63.0,-94.0,299.0,
